n_time      pose_x      pose_y  pose_theta     cov_11     cov_12    cov_13     cov_21     cov_22    cov_23    cov_31    cov_32    cov_33   tick_L   tick_R
  9032 -161.889000   56.038500    1.542520    1.09340   0.544865 -0.001961   0.544865   7.116620 -0.021792 -0.001961 -0.021792  0.000473   598660   601626
  9094 -161.922000   58.659900    1.545470    1.10250   0.540147 -0.001931   0.540147   7.567000 -0.023228 -0.001931 -0.023228  0.000478   609173   611911
  9157 -161.730000   60.976700    1.544660    1.09714   0.493128 -0.001762   0.493128   7.581870 -0.023266 -0.001762 -0.023266  0.000478   617998   620647
  9219 -161.775000   62.609200    1.542390    1.07934   0.405288 -0.001459   0.405288   7.156160 -0.021899 -0.001459 -0.021899  0.000473   627051   629435
  9282 -161.747000   65.823500    1.544180    1.08880   0.381332 -0.001363   0.381332   7.607400 -0.023342 -0.001363 -0.023342  0.000478   636081   638263
  9407 -161.702000   67.876200    1.542640    1.08601   0.332736 -0.001190   0.332736   7.614640 -0.023367 -0.001190 -0.023367  0.000478   654871   656564
  9469 -161.817000   70.054000    1.541500    1.08431   0.281004 -0.001006   0.281004   7.624080 -0.023403 -0.001006 -0.023403  0.000479   663092   664671
  9532 -161.688000   72.509700    1.540150    1.08371   0.224255 -0.000803   0.224255   7.638600 -0.023445 -0.000803 -0.023445  0.000479   671182   672730
  9594 -162.228000   74.418000    1.541350    2.29306   0.142186 -0.000509   0.142186   8.055630 -0.020182 -0.000509 -0.020182  0.001761   680889   682210
  9657 -161.325000   76.904900    1.537530    1.07580   0.095505 -0.000345   0.095505   7.240040 -0.022131 -0.000345 -0.022131  0.000474   689529   690493
  9719 -161.750000   79.151500    1.536930    2.47141   0.041084 -0.000150   0.041084   8.218510 -0.020186 -0.000150 -0.020186  0.001761   698232   698890
  9782 -161.925000   82.115000    1.536760    2.61587  -0.004071  0.000013  -0.004071   8.861820 -0.021843  0.000013 -0.021843  0.001778   707000   707433
  9954 -161.378000   86.035200    1.531480    1.09302  -0.108550  0.000390  -0.108550   7.279540 -0.022270  0.000390 -0.022270  0.000475   734880   735083
 10032 -161.955000   88.026900    1.533680    2.81880  -0.136509  0.000490  -0.136509   8.507050 -0.020167  0.000490 -0.020167  0.001762   744144   743953
 10094 -161.026000   93.259100    1.532200    1.11734  -0.265638  0.000956  -0.265638   7.328190 -0.022374  0.000956 -0.022374  0.000475   755329   754819
 10219 -161.087000   95.618100    1.531300    1.12766  -0.319787  0.001152  -0.319787   7.337590 -0.022404  0.001152 -0.022404  0.000475   774804   774248
 10344 -161.160000   98.181500    1.530890    1.13916  -0.375536  0.001354  -0.375536   7.347710 -0.022435  0.001354 -0.022435  0.000475   796313   795036
 10469 -170.782000  105.621000    1.538090   37.58830   0.425649  0.002102   0.425649  41.659300  0.020304  0.002102  0.020304  0.027500   815896   813956
 10532 -170.371000  108.608000    1.535650   38.34000   0.477750  0.002359   0.477750  42.397000  0.020298  0.002359  0.020298  0.027500   825695   823535
 10594 -164.349000  113.403000    1.537280   11.74480  -0.347704  0.001247  -0.347704  15.639700 -0.005258  0.001247 -0.005258  0.013741   837049   834561
 10719 -162.935000  118.423000    1.524710   15.79480  -0.469727  0.001530  -0.469727  20.095800 -0.006485  0.001530 -0.006485  0.015394   856187   853389
 10782 -165.065000  120.833000    1.535780   12.80510  -0.408184  0.001579  -0.408184  16.591300 -0.005086  0.001579 -0.005086  0.013742   865525   862522
 10969 -171.556000  124.875000    1.534160   42.19820   0.809215  0.003957   0.809215  46.233200  0.020491  0.003957  0.020491  0.027500   895281   891329
 11032 -162.872000  123.265000    1.525500    7.99771   0.711543 -0.005663   0.711542   3.324500 -0.001429 -0.005663 -0.001429  0.010259   904591   900469
 11094 -174.216000  134.289000    1.522800   67.35510   0.978973  0.004685   0.978973  71.511300  0.020936  0.004685  0.020936  0.030800   915422   911121
 11157 -172.327000  137.626000    1.513760   68.57130   1.013960  0.004866   1.013960  72.686700  0.020880  0.004866  0.020880  0.030800   924914   920358
 11219 -173.754000  139.662000    1.521850   69.79440   1.087800  0.005208   1.087800  73.895700  0.020928  0.005208  0.020928  0.030800   934500   929808
 11282 -172.861000  147.382000    1.512300   72.74940   1.218670  0.005812   1.218670  76.817900  0.021009  0.005812  0.021009  0.030800   944227   939269
 11344 -172.079000  148.777000    1.513630   74.10900   1.248650  0.005980   1.248650  78.120800  0.020920  0.005980  0.020920  0.030800   955400   950392
 11407 -173.211000  151.947000    1.515840   75.76720   1.328210  0.006331   1.328210  79.777600  0.021020  0.006331  0.021020  0.030800   964776   959726
 11532 -173.939000  156.977000    1.510160   77.32380   1.423490  0.006726   1.423490  81.360300  0.021204  0.006726  0.021204  0.030800   983432   978257
 11594 -163.798000  145.866000    1.517350    8.65265   1.251320 -0.025822   1.251320   1.227780 -0.004230 -0.025822 -0.004230  0.000482   993909   988532
 11657 -163.923000  148.140000    1.512650   10.32020   1.190810 -0.012925   1.190810   3.339250 -0.001785 -0.012925 -0.001785  0.014523  1002691   997084
 11782 -162.843000  152.568000    1.514270   11.43950   1.395520 -0.028956   1.395520   3.303120 -0.004828 -0.028956 -0.004828  0.027500  1019717  1014022
 12094 -161.853000  162.718000    1.535990   10.45330   1.345370 -0.027840   1.345370   2.950630 -0.004841 -0.027840 -0.004841  0.027500  1062727  1057611
 12469 -161.189000  176.801000    1.541130    9.43294   1.285130 -0.026405   1.285130   2.710360 -0.004876 -0.026405 -0.004876  0.027500  1115181  1111459
 12532 -161.305000  179.341000    1.535340    8.31954   1.270310 -0.026176   1.270310   1.715620 -0.004862 -0.026176 -0.004862  0.030800  1124033  1120371
 13032 -161.538000  195.386000    1.544640    7.58093   1.179240 -0.024528   1.179240   1.806730 -0.004816 -0.024528 -0.004816  0.030800  1191011  1187860
 13219 -160.884000  203.221000    1.529540    8.40358   1.150270 -0.023809   1.150270   2.978640 -0.004840 -0.023809 -0.004840  0.027500  1215603  1212780
 13282 -161.573000  207.650000    1.510940    7.22631   1.103090 -0.023451   1.103090   1.957860 -0.004712 -0.023451 -0.004712  0.030800  1223636  1220626
 13407 -161.318000  210.377000    1.526140    7.18405   1.099690 -0.023109   1.099690   2.080060 -0.004767 -0.023109 -0.004767  0.030800  1241411  1238032
 13469 -161.558000  213.231000    1.520300    7.15000   1.075800 -0.022850   1.075800   2.159820 -0.004716 -0.022850 -0.004716  0.030800  1249709  1246341
 13532 -159.710000  215.176000    1.509470    8.29712   1.100890 -0.022696   1.100890   3.390660 -0.004859 -0.022696 -0.004859  0.027500  1258143  1254856
 13657 -159.751000  216.643000    1.518610    8.31184   1.096300 -0.022509   1.096300   3.491580 -0.004879 -0.022509 -0.004879  0.027500  1276810  1273252
 13719 -159.274000  219.666000    1.507760    8.29060   1.082920 -0.022252   1.082920   3.584840 -0.004875 -0.022252 -0.004875  0.027500  1285403  1281608
 13782 -179.815000  205.646000    1.521020  105.61600 -12.072800 -0.059287 -12.072800  74.697100  0.020409 -0.059287  0.020409  0.030800  1293911  1289922
 13969 -161.738000  228.266000    1.521080    6.66746   0.880235 -0.011597   0.880235   2.784800 -0.002140 -0.011597 -0.002140  0.015395  1319734  1315244
 14032 -160.876000  230.379000    1.515690    7.81839   0.823229 -0.012142   0.823229   4.074630 -0.002074 -0.012142 -0.002074  0.014524  1327752  1322929
 14094 -159.657000  232.465000    1.523140    5.60980   1.012190 -0.020904   1.012190   1.481960 -0.004850 -0.020904 -0.004850  0.001900  1337133  1331675
 14157 -159.815000  234.912000    1.519440    5.54437   0.992178 -0.020676   0.992178   1.506980 -0.004807 -0.020676 -0.004807  0.001900  1345330  1339289
 14219 -159.666000  236.868000    1.513360    5.50231   0.978870 -0.020507   0.978871   1.532090 -0.004782 -0.020507 -0.004782  0.001900  1353507  1346953
 14282 -159.013000  240.079000    1.498360    8.95871   0.959673 -0.020250   0.959673   5.089890 -0.004747 -0.020250 -0.004747  0.027500  1361865  1354663
 14344 -159.475000  241.223000    1.507360    9.05125   0.952316 -0.020097   0.952316   5.243800 -0.004747 -0.020097 -0.004747  0.027500  1371871  1363741
 14407 -159.920000  243.498000    1.507920    4.99706   0.931114 -0.019869   0.931114   1.275600 -0.004694 -0.019869 -0.004694  0.000500  1380738  1371559
 14469 -159.950000  245.655000    1.503420    4.92266   0.913776 -0.019674   0.913776   1.274300 -0.004653 -0.019674 -0.004653  0.000500  1389587  1379344
 14594 -159.927000  248.238000    1.498060    4.83449   0.893953 -0.019440   0.893953   1.273100 -0.004606 -0.019440 -0.004606  0.000500  1409664  1397117
 14657 -160.703000  250.313000    1.485550    4.90792   0.786187 -0.017109   0.786187   1.702580 -0.003976 -0.017109 -0.003976  0.001787  1419278  1405790
 14719 -160.278000  252.870000    1.484300    4.76819   0.731149 -0.016480   0.731149   1.713040 -0.003770 -0.016480 -0.003770  0.001773  1428941  1414331
 14782 -159.116000  255.251000    1.484900    4.59714   0.854093 -0.018795   0.854093   1.276860 -0.004552 -0.018795 -0.004552  0.000500  1438448  1422696
 14954 -158.469000  262.060000    1.472650    3.95110   0.753905 -0.016282   0.753905   1.212230 -0.004129 -0.016282 -0.004129  0.000486  1467897  1448688
 15032 -158.696000  264.489000    1.465020    4.30654   0.783449 -0.017965   0.783449   1.274700 -0.004368 -0.017965 -0.004368  0.000500  1476718  1456067
 15094 -158.734000  266.505000    1.460620    4.24602   0.765314 -0.017786   0.765314   1.273030 -0.004310 -0.017786 -0.004310  0.000500  1486713  1463964
 15157 -158.950000  268.576000    1.450620    4.19527   0.736759 -0.017631   0.736759   1.266210 -0.004186 -0.017631 -0.004186  0.000500  1495192  1470267
 15219 -159.588000  270.370000    1.442450    4.15373   0.704877 -0.017502   0.704877   1.257650 -0.004034 -0.017502 -0.004034  0.000500  1503190  1476226
 15282 -159.617000  272.452000    1.431690    4.10565   0.678184 -0.017352   0.678184   1.252250 -0.003915 -0.017352 -0.003915  0.000500  1511138  1481926
 15344 -159.479000  274.311000    1.422180    4.06261   0.657014 -0.017217   0.657014   1.248740 -0.003822 -0.017217 -0.003822  0.000500  1520223  1488365
 15407 -159.129000  276.251000    1.410520    4.02041   0.635770 -0.017083   0.635770   1.245110 -0.003728 -0.017083 -0.003728  0.000500  1528079  1493623
 15469 -159.162000  278.178000    1.399320    3.98115   0.608645 -0.016955   0.608645   1.239540 -0.003595 -0.016955 -0.003595  0.000500  1535945  1498678
 15594 -160.250000  279.966000    1.380640    3.72043   0.519423 -0.015677   0.519423   1.194700 -0.003121 -0.015677 -0.003121  0.000489  1553774  1510179
 15657 -159.157000  282.348000    1.371580    3.90641   0.545847 -0.016705   0.545847   1.226760 -0.003273 -0.016705 -0.003273  0.000500  1562224  1515417
 15719 -159.067000  284.130000    1.357690    3.87953   0.517305 -0.016612   0.517305   1.220910 -0.003119 -0.016612 -0.003119  0.000500  1570680  1520561
 15782 -158.913000  286.150000    1.342800    3.84808   0.486618 -0.016504   0.486618   1.215330 -0.002953 -0.016504 -0.002953  0.000500  1579274  1525645
 15954 -158.905000  292.547000    1.291420    3.77186   0.374274 -0.016221   0.374274   1.197650 -0.002310 -0.016221 -0.002310  0.000500  1606854  1541618
 16032 -158.656000  294.367000    1.274040    3.75716   0.341528 -0.016161   0.341528   1.193680 -0.002116 -0.016161 -0.002116  0.000500  1615502  1546670
 16094 -158.489000  295.954000    1.258340    3.74702   0.311167 -0.016118   0.311167   1.190200 -0.001933 -0.016118 -0.001933  0.000500  1625496  1552442
 16157 -158.032000  297.756000    1.240810    3.73348   0.280715 -0.016062   0.280715   1.187900 -0.001750 -0.016062 -0.001750  0.000500  1634038  1557189
 16219 -157.729000  299.950000    1.223040    3.71259   0.244627 -0.015979   0.244627   1.186360 -0.001532 -0.015979 -0.001532  0.000500  1642664  1561916
 16282 -157.518000  301.893000    1.204830    3.70285   0.207805 -0.015931   0.207805   1.185390 -0.001305 -0.015931 -0.001305  0.000500  1652517  1567509
 16344 -157.540000  303.633000    1.186470    3.70313   0.168356 -0.015917   0.168356   1.184280 -0.001058 -0.015917 -0.001058  0.000500  1660878  1572013
 16407 -157.436000  305.346000    1.168800    3.70285   0.131566 -0.015901   0.131566   1.184880 -0.000827 -0.015901 -0.000827  0.000500  1669014  1576464
 16532 -156.736000  307.294000    1.149530    3.69496   0.098867 -0.015858   0.098867   1.187560 -0.000623 -0.015858 -0.000623  0.000500  1686856  1586113
 16594 -156.322000  309.156000    1.132420    3.68821   0.065488 -0.015820   0.065488   1.190620 -0.000413 -0.015820 -0.000413  0.000500  1695076  1590672
 16657 -156.138000  310.750000    1.114500    3.69503   0.029012 -0.015828   0.029012   1.193590 -0.000182 -0.015828 -0.000182  0.000500  1703415  1595200
 16719 -155.934000  312.555000    1.098280    7.41793  -0.006388 -0.015805  -0.006388   4.923370  0.000042 -0.015805  0.000042  0.001900  1711994  1599977
 16782 -155.266000  314.540000    1.078530    3.69266  -0.042627 -0.015784  -0.042627   1.205650  0.000272 -0.015784  0.000272  0.000500  1720765  1604713
 16954 -153.960000  319.773000    1.021000    3.72326  -0.156843 -0.015831  -0.156843   1.230520  0.000994 -0.015831  0.000994  0.000500  1748785  1619294
 17032 -153.522000  321.790000    1.001120    3.73250  -0.199288 -0.015842  -0.199288   1.242360  0.001262 -0.015842  0.001262  0.000500  1759422  1624495
 17095 -153.149000  323.626000    0.978860    3.75780  -0.246239 -0.015904  -0.246239   1.256130  0.001553 -0.015904  0.001553  0.000500  1768644  1628760
 17157 -152.558000  325.666000    0.956482    3.77795  -0.292731 -0.015946  -0.292731   1.272580  0.001841 -0.015946  0.001841  0.000500  1778204  1633188
 17220 -152.724000  327.626000    0.936806    8.90832  -0.345433 -0.016016  -0.345433   6.393440  0.002163 -0.016016  0.002163  0.001900  1787736  1637469
 17282 -151.239000  330.257000    0.904084    9.11137  -0.404928 -0.016095  -0.404928   6.587970  0.002523 -0.016095  0.002523  0.001900  1798469  1642124
 17345 -151.742000  331.080000    0.886899    9.34801  -0.451063 -0.016266  -0.451063   6.783180  0.002780 -0.016266  0.002780  0.001900  1807305  1645584
 17407 -150.848000  332.820000    0.861313    9.58534  -0.501152 -0.016386  -0.501152   6.998130  0.003066 -0.016386  0.003066  0.001900  1815735  1648717
 17470 -150.148000  334.737000    0.836276    9.82988  -0.555709 -0.016507  -0.555709   7.222830  0.003375 -0.016507  0.003375  0.001900  1824034  1651368
 17595 -149.600000  336.560000    0.810116   10.09140  -0.615353 -0.016669  -0.615353   7.453600  0.003701 -0.016669  0.003701  0.001900  1841458  1656654
 17657 -147.370000  338.976000    0.771740   27.25340  -0.682045 -0.016844  -0.682044  24.584900  0.004059 -0.016844  0.004059  0.027500  1849427  1659084
